name,lower_bound,upper_bound
/forceset/fhl_l,0.01,1.0
/forceset/psoas_l,0.01,1.0
/forceset/perlong_l,0.01,1.0
/forceset/fdl_l,0.01,1.0
/forceset/ehl_l,0.01,1.0
/forceset/edl_l,0.01,1.0
/forceset/bfsh_l,0.01,1.0
/forceset/grac_l,0.01,1.0
/forceset/bflh_l,0.01,1.0
/forceset/addmagProx_l,0.01,1.0
/forceset/addmagMid_l,0.01,1.0
/forceset/addlong_l,0.01,1.0
/forceset/addbrev_l,0.01,1.0
/forceset/vasmed_r,0.01,1.0
/forceset/vaslat_r,0.01,1.0
/forceset/tfl_r,0.01,1.0
/forceset/piri_l,0.01,1.0
/forceset/semimem_r,0.01,1.0
/forceset/sart_r,0.01,1.0
/forceset/glmax3_l,0.01,1.0
/forceset/recfem_r,0.01,1.0
/forceset/psoas_r,0.01,1.0
/forceset/piri_r,0.01,1.0
/forceset/iliacus_r,0.01,1.0
/forceset/glmin3_r,0.01,1.0
/forceset/glmin2_r,0.01,1.0
/forceset/gasmed_l,0.01,1.0
/forceset/glmin1_r,0.01,1.0
/forceset/glmed1_r,0.01,1.0
/forceset/glmed2_r,0.01,1.0
/forceset/glmax1_r,0.01,1.0
/forceset/bfsh_r,0.01,1.0
/forceset/grac_r,0.01,1.0
/forceset/glmed3_r,0.01,1.0
/forceset/bflh_r,0.01,1.0
/forceset/addmagMid_r,0.01,1.0
/forceset/addmagIsch_r,0.01,1.0
/forceset/semiten_r,0.01,1.0
/forceset/addmagDist_r,0.01,1.0
/forceset/addlong_r,0.01,1.0
/forceset/pro_sup_l,-inf,inf
/forceset/addmagDist_l,0.01,1.0
/forceset/elbow_flex_l,-inf,inf
/forceset/shoulder_rot_l,-inf,inf
/forceset/tibant_l,0.01,1.0
/forceset/shoulder_add_l,-inf,inf
/forceset/shoulder_flex_l,-inf,inf
/forceset/addmagIsch_l,0.01,1.0
/forceset/pro_sup_r,-inf,inf
/forceset/elbow_flex_r,-inf,inf
/forceset/soleus_l,0.01,1.0
/forceset/shoulder_rot_r,-inf,inf
/forceset/vasint_l,0.01,1.0
/forceset/vasint_r,0.01,1.0
/forceset/shoulder_add_r,-inf,inf
/forceset/addbrev_r,0.01,1.0
/forceset/shoulder_flex_r,-inf,inf
/forceset/lumbar_rot,-inf,inf
/forceset/glmax3_r,0.01,1.0
/forceset/lumbar_bend,-inf,inf
/forceset/glmax2_r,0.01,1.0
/forceset/addmagProx_r,0.01,1.0
/forceset/lumbar_ext,-inf,inf
